Scenario,BP_density,Res_Density,Actual_RO,RO_prop,CumBP_BSA.km2,CumRes_BSA.km2,CumStream_BSA.km2,CumRpropNetwork,CumRPropBP,CumRPropRes,CumRPropStream,RpropBP,RpropRes,RpropStream,Nremoved_BP.kgyr,Nremoved_Res.kgyr,Nremoved_Stream.kgyr,Nremoved_Total.kgyr
A,0.000000001,0.000000001,5,0.01,5.82589E-10,3.59425E-08,1.074039576,0.999949743,1.09984E-08,1.22952E-07,0.999949609,1.09989E-08,1.22958E-07,0.999999866,2.10521E-06,2.35344E-05,191.4016624,191.401688
A,0.000000001,0.000000001,50,0.1,7.33436E-10,3.59425E-08,1.352135716,0.894794783,3.85686E-09,6.59809E-08,0.894794713,4.31033E-09,7.37386E-08,0.999999922,7.38246E-06,0.000126295,1712.738263,1712.738396
A,0.000000001,0.000000001,500,1,9.23341E-10,3.59425E-08,1.702238013,0.27554067,1.07728E-09,2.15607E-08,0.275540647,3.90968E-09,7.82486E-08,0.999999918,2.06203E-05,0.000412696,5274.159563,5274.159996
A,0.000000001,0.000000001,5000,10,1.16242E-09,3.59425E-08,2.142990691,0.040338102,1.55035E-10,2.59084E-09,0.040338099,3.84339E-09,6.42282E-08,0.999999932,2.96755E-05,0.000495917,7721.168253,7721.168779
A,0.000000001,0.000000001,10000,20,1.24585E-09,3.59425E-08,2.296800553,0.021843729,8.3852E-11,1.31177E-09,0.021843727,3.83872E-09,6.00526E-08,0.999999936,3.21004E-05,0.000502176,8362.272856,8362.273391
B,0.000000001,0.0075,5,0.01,5.82589E-10,0.2695689,0.998277977,1.060228751,1.09984E-08,0.060436941,0.999791799,1.03736E-08,0.057003681,0.942996309,2.10521E-06,11.56831396,191.3714558,202.9397718
B,0.000000001,0.0075,50,0.1,7.33436E-10,0.2695689,1.256757513,1.092274088,3.85686E-09,0.218989718,0.873284366,3.53104E-09,0.200489713,0.799510284,7.38246E-06,419.1710831,1671.565027,2090.736117
B,0.000000001,0.0075,500,1,9.23341E-10,0.2695689,1.582163969,0.403192862,1.07728E-09,0.145206996,0.257985864,2.67186E-09,0.360142776,0.639857222,2.06203E-05,2779.426106,4938.141168,7717.567295
B,0.000000001,0.0075,5000,10,1.16242E-09,0.2695689,1.991826426,0.056650217,1.55035E-10,0.019216865,0.037433352,2.73671E-09,0.339219621,0.660780377,2.96755E-05,3678.325287,7165.166816,10843.49213
B,0.000000001,0.0075,10000,20,1.24585E-09,0.2695689,2.134786706,0.030041696,8.3852E-11,0.00978375,0.020257946,2.79119E-09,0.325672352,0.674327645,3.21004E-05,3745.44072,7755.199977,11500.64073
C,0.4,0.0075,5,0.01,0.233035633,0.2695689,0.974974413,1.17069895,0.505501279,0.085487867,0.579709804,0.431794424,0.07302293,0.495182647,96.75866086,16.36334441,110.9630118,224.0850171
C,0.4,0.0075,50,0.1,0.293374481,0.2695689,1.227420065,1.057173935,0.477204686,0.039841089,0.54012816,0.451396568,0.037686408,0.510917023,913.4237309,76.26034858,1033.866375,2023.550455
C,0.4,0.0075,500,1,0.369336589,0.2695689,1.54523031,0.672759097,0.335579241,0.111968233,0.225211623,0.49881041,0.166431392,0.334758198,6423.366141,2143.198592,4310.805121,12877.36985
C,0.4,0.0075,5000,10,0.464967217,0.2695689,1.945329705,0.114611612,0.059994118,0.018606521,0.036010972,0.523455849,0.162344115,0.314200035,11483.55268,3561.498463,6892.907327,21937.95847
C,0.4,0.0075,10000,20,0.498339524,0.2695689,2.084952754,0.062190191,0.032949034,0.00961617,0.019624987,0.529810783,0.154625188,0.315564029,12613.63519,3681.287316,7512.888892,23807.8114
D,0.8,0.0075,5,0.01,0.466071267,0.2695689,0.95167085,1.213522908,0.550876358,0.106970007,0.555676543,0.453948051,0.088148321,0.457903629,105.4439642,20.47526884,106.3627738,232.2820068
D,0.8,0.0075,50,0.1,0.586748961,0.2695689,1.198082617,1.036311414,0.570845285,0.022703905,0.442762223,0.550843384,0.021908381,0.427248236,1092.662426,43.45784123,847.496962,1983.61723
D,0.8,0.0075,500,1,0.738673178,0.2695689,1.508296652,0.824341902,0.537163166,0.087595132,0.199583604,0.651626666,0.106260681,0.242112652,10281.9104,1676.669879,3820.255872,15778.83616
D,0.8,0.0075,5000,10,0.929934435,0.2695689,1.898832983,0.168791621,0.116131648,0.01801934,0.034640632,0.68801785,0.106754946,0.205227204,22228.91065,3449.105503,6630.608755,32308.6249
D,0.8,0.0075,10000,20,0.996679049,0.2695689,2.035118801,0.093200778,0.064743643,0.009452027,0.019005108,0.694668482,0.101415749,0.20391577,24785.33084,3618.449585,7275.58533,35679.36576
E,1.2,0.0075,5,0.01,0.6991069,0.2695689,0.928367287,1.220186041,0.558497182,0.110360236,0.551328623,0.457714777,0.090445417,0.451839805,106.902676,21.12419704,105.5305328,233.5574058
E,1.2,0.0075,50,0.1,0.880123442,0.2695689,1.168745169,1.029211242,0.616764983,0.018081744,0.394364515,0.599259858,0.017568545,0.383171597,1180.55792,34.6105024,754.8582765,1970.026699
E,1.2,0.0075,500,1,1.108009767,0.2695689,1.471362993,0.909905175,0.66107721,0.069595519,0.179232447,0.72653418,0.076486562,0.196979258,12653.76532,1332.136921,3430.7117,17416.61395
E,1.2,0.0075,5000,10,1.394901652,0.2695689,1.852336261,0.219447368,0.168672961,0.017454385,0.033320022,0.768626036,0.07953791,0.151836054,32285.91199,3340.966669,6377.829066,42004.70773
E,1.2,0.0075,10000,20,1.495018573,0.2695689,1.985284849,0.123115541,0.095426311,0.009291245,0.018397985,0.775095576,0.075467685,0.149436738,36531.35006,3556.898677,7043.164694,47131.41343
F,1.6,0.0075,5,0.01,0.932142533,0.2695689,0.905063723,1.220854496,0.559826867,0.110761657,0.550265972,0.458553307,0.090724699,0.450721993,107.1571927,21.20103358,105.3271294,233.6853557
F,1.6,0.0075,50,0.1,1.173497923,0.2695689,1.139407721,1.026512821,0.645168092,0.016550214,0.364794515,0.62850466,0.016122755,0.355372585,1234.924682,31.67898195,698.2579521,1964.861616
F,1.6,0.0075,500,1,1.477346356,0.2695689,1.434429334,0.958305881,0.739285633,0.056200312,0.162819936,0.771450586,0.058645484,0.169903931,14150.76298,1075.737522,3116.557688,18343.05819
F,1.6,0.0075,5000,10,1.859868869,0.2695689,1.80583954,0.266817961,0.217860265,0.016910755,0.032046941,0.81651274,0.063379374,0.120107886,41700.91815,3236.909801,6134.146957,51071.97491
F,1.6,0.0075,10000,20,1.993358098,0.2695689,1.935450896,0.151974954,0.125037904,0.009133751,0.017803299,0.822753358,0.060100369,0.117146273,47867.3373,3496.6064,6815.505625,58179.44932
G,0.8,0.005,5,0.01,0.466071267,0.1797126,0.97692472,1.21368191,0.550876358,0.106967481,0.555838071,0.453888579,0.088134692,0.457976729,105.4439642,20.4747854,106.3936922,232.3124418
G,0.8,0.005,50,0.1,0.586748961,0.1797126,1.229875355,1.032054133,0.570845285,0.01752324,0.443685608,0.553115643,0.016978993,0.429905364,1092.662426,33.54146295,849.2644247,1975.468314
G,0.8,0.005,500,1,0.738673178,0.1797126,1.548321338,0.800828301,0.537163166,0.060422976,0.203242159,0.670759469,0.0754506,0.253789931,10281.9104,1156.564078,3890.284752,15328.75924
G,0.8,0.005,5000,10,0.929934435,0.1797126,1.949221078,0.163741227,0.116131648,0.012057196,0.035552383,0.709238902,0.073635675,0.217125423,22228.91065,2307.883602,6805.128164,31341.92241
G,0.8,0.005,10000,20,0.996679049,0.1797126,2.089123424,0.090573582,0.064743643,0.006313009,0.01951693,0.714818183,0.069700331,0.215481486,24785.33084,2416.762467,7471.522211,34673.61552
H,0.8,0.0025,5,0.01,0.466071267,0.0898563,1.00217859,1.213375114,0.550876358,0.106561916,0.55593684,0.454003343,0.087822731,0.458173926,105.4439642,20.39715579,106.4125975,232.2537175
H,0.8,0.0025,50,0.1,0.586748961,0.0898563,1.261668094,1.025327454,0.570845285,0.009922471,0.444559697,0.556744368,0.009677368,0.433578263,1092.662426,18.99273241,850.9375297,1962.592689
H,0.8,0.0025,500,1,0.738673178,0.0898563,1.588346024,0.775313007,0.537163166,0.031278193,0.206871648,0.69283394,0.040342666,0.266823394,10281.9104,598.6999902,3959.757268,14840.36766
H,0.8,0.0025,5000,10,0.929934435,0.0898563,1.999609173,0.158645727,0.116131648,0.00605087,0.036463209,0.732018758,0.038140768,0.229840474,22228.91065,1158.204902,6979.470538,30366.58609
H,0.8,0.0025,10000,20,0.996679049,0.0898563,2.143128047,0.087934465,0.064743643,0.003162349,0.020028473,0.736271529,0.035962565,0.227765906,24785.33084,1210.618702,7667.352489,33663.30204
I,0.8,0.000000001,5,0.01,0.466071267,3.59425E-08,1.027432449,1.106873978,0.550876358,2.98402E-07,0.555997321,0.497686611,2.6959E-07,0.50231312,105.4439642,5.71176E-05,106.4241743,211.8681956
I,0.8,0.000000001,50,0.1,0.586748961,3.59425E-08,1.29346082,1.016232346,0.570845285,4.21284E-09,0.445387056,0.561727136,4.14555E-09,0.43827286,1092.662426,8.06386E-06,852.5211889,1945.183623
I,0.8,0.000000001,500,1,0.738673178,3.59425E-08,1.628370695,0.74763548,0.537163166,1.29608E-08,0.210472302,0.71848271,1.73357E-08,0.281517273,10281.9104,0.000248085,4028.677849,14310.5885
I,0.8,0.000000001,5000,10,0.929934435,3.59425E-08,2.049997248,0.153504761,0.116131648,2.42931E-09,0.037373111,0.756534502,1.58256E-08,0.243465482,22228.91065,0.000464996,7153.635988,29382.5471
I,0.8,0.000000001,10000,20,0.996679049,3.59425E-08,2.197132648,0.085283382,0.064743643,1.26728E-09,0.020539738,0.759158953,1.48597E-08,0.240841032,24785.33084,0.000485145,7863.076145,32648.40747