Date,Time,Discharge.cfs,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,DIN_OUT_Scen_kg.day,DON_OUT_Scen_kg.day,PN_OUT_Scen_kg.day
20160224,1200,117.00,97.24,116.27,17.16,98.77,121.46,17.36,72.09,117.89,18.04
20160225,1200,167.00,150.33,167.33,23.57,165.10,174.20,23.88,115.40,168.65,24.61
20160226,1200,183.00,168.14,183.74,25.58,188.40,191.13,25.92,130.23,184.91,26.65
20160227,1200,163.00,145.94,163.23,23.07,159.42,169.97,23.37,111.76,164.58,24.09
20160228,1200,159.00,141.57,159.13,22.56,153.81,165.75,22.85,108.15,160.52,23.58
20160229,1200,144.00,125.40,143.79,20.65,133.31,149.91,20.91,94.87,145.29,21.62
20160301,1200,125.00,105.45,124.41,18.20,108.67,129.88,18.42,78.68,126.00,19.11
20160302,1200,126.00,106.48,125.43,18.33,109.93,130.94,18.55,79.51,127.02,19.25
20160303,1200,132.00,112.72,131.54,19.11,117.57,137.26,19.34,84.56,133.11,20.04
20160304,1200,114.00,94.19,113.22,16.76,95.13,118.31,16.96,69.65,114.85,17.64
20160305,1200,101.00,81.21,100.02,15.04,79.86,104.64,15.22,59.34,101.67,15.87
20160306,1200,92.00,72.43,90.91,13.84,69.78,95.20,14.00,52.44,92.56,14.63
20160307,1200,76.20,57.49,74.97,11.69,53.14,78.65,11.82,40.86,76.57,12.41
20160308,1200,55.90,39.31,54.60,8.86,33.94,57.45,8.95,27.11,56.06,9.46
20160309,1200,49.40,33.77,48.11,7.93,28.38,50.68,8.01,23.01,49.50,8.49
20160310,1200,47.20,31.93,45.92,7.62,26.57,48.40,7.69,21.66,47.28,8.16
20160311,1200,71.20,52.89,69.94,11.01,48.17,73.42,11.12,37.35,71.52,11.69
20160312,1200,73.10,54.63,71.85,11.27,50.04,75.40,11.39,38.68,73.44,11.96
20160313,1200,64.30,46.67,63.01,10.05,41.56,66.21,10.15,32.63,64.54,10.69
20160314,1200,57.00,40.26,55.70,9.02,34.91,58.60,9.11,27.82,57.17,9.62
20160315,1200,87.50,68.11,86.37,13.23,64.90,90.48,13.38,49.07,88.00,14.00
20160316,1200,143.00,124.33,142.77,20.52,131.97,148.86,20.78,94.00,144.27,21.49
20160317,1200,148.00,129.67,147.88,21.16,138.69,154.13,21.43,98.37,149.35,22.15
20160318,1200,165.00,148.13,165.28,23.32,162.25,172.09,23.62,113.57,166.61,24.35
20160319,1200,154.00,136.14,154.01,21.93,146.87,160.47,22.21,103.67,155.44,22.93
20160320,1200,135.00,115.87,134.60,19.50,121.45,140.42,19.74,87.11,136.15,20.44
20160321,1200,124.00,104.41,123.39,18.07,107.42,128.83,18.29,77.84,124.99,18.98
20160322,1200,123.00,103.38,122.37,17.94,106.17,127.78,18.16,77.02,123.98,18.85
20160323,1200,121.00,101.33,120.34,17.68,103.68,125.67,17.89,75.36,121.95,18.58
20160324,1200,121.00,101.33,120.34,17.68,103.68,125.67,17.89,75.36,121.95,18.58
20160325,1200,115.00,95.21,114.23,16.89,96.34,119.36,17.10,70.46,115.86,17.77
20160326,1200,109.00,89.16,108.14,16.10,89.16,113.05,16.29,65.64,109.78,16.96
20160327,1200,99.30,79.53,98.30,14.82,77.93,102.86,14.99,58.02,99.95,15.63
20160328,1200,102.00,82.19,101.04,15.18,81.01,105.69,15.35,60.12,102.69,16.00
20160329,1200,130.00,110.64,129.50,18.85,115.00,135.15,19.08,82.87,131.08,19.78
20160330,1200,123.00,103.38,122.37,17.94,106.17,127.78,18.16,77.02,123.98,18.85
20160331,1200,113.00,93.18,112.20,16.63,93.93,117.25,16.83,68.84,113.84,17.50
20160401,1200,107.00,87.16,106.11,15.84,86.81,110.95,16.03,64.05,107.75,16.69
20160402,1200,99.70,79.93,98.71,14.87,78.38,103.28,15.04,58.33,100.36,15.69
20160403,1200,99.60,79.83,98.61,14.86,78.27,103.17,15.03,58.25,100.26,15.67
20160404,1200,98.50,78.75,97.49,14.71,77.02,102.02,14.88,57.40,99.14,15.52
20160405,1200,94.50,74.85,93.44,14.18,72.54,97.82,14.34,54.34,95.09,14.97
20160406,1200,94.40,74.75,93.34,14.16,72.43,97.72,14.32,54.26,94.99,14.96
20160407,1200,109.00,89.16,108.14,16.10,89.16,113.05,16.29,65.64,109.78,16.96
20160408,1200,207.00,195.50,208.43,28.55,225.05,216.55,28.94,153.25,209.32,29.67
20160409,1200,192.00,178.31,192.99,26.70,201.91,200.65,27.06,138.76,194.06,27.79
20160410,1200,179.00,163.66,179.64,25.08,182.48,186.89,25.41,126.48,180.84,26.14
20160411,1200,167.00,150.33,167.33,23.57,165.10,174.20,23.88,115.40,168.65,24.61
20160412,1200,153.00,135.06,152.99,21.80,145.50,159.41,22.08,102.78,154.42,22.80
20160413,1200,144.00,125.40,143.79,20.65,133.31,149.91,20.91,94.87,145.29,21.62
20160414,1200,129.00,109.59,128.48,18.72,113.73,134.10,18.95,82.02,130.06,19.65
20160415,1200,114.00,94.19,113.22,16.76,95.13,118.31,16.96,69.65,114.85,17.64
20160416,1200,101.00,81.21,100.02,15.04,79.86,104.64,15.22,59.34,101.67,15.87
20160417,1200,91.10,71.56,90.00,13.72,68.80,94.25,13.87,51.77,91.65,14.50
20160418,1200,84.20,64.97,83.04,12.79,61.39,87.02,12.93,46.64,84.66,13.54
20160419,1200,78.50,59.62,77.29,12.01,55.48,81.05,12.14,42.50,78.90,12.73
20160420,1200,73.70,55.18,72.46,11.35,50.64,76.03,11.47,39.10,74.04,12.05
20160421,1200,65.80,48.01,64.52,10.26,42.98,67.78,10.36,33.64,66.06,10.91
20160422,1200,58.90,41.91,57.60,9.29,36.61,60.58,9.38,29.05,59.09,9.90
20160423,1200,59.60,42.52,58.30,9.39,37.24,61.31,9.48,29.51,59.80,10.01
20160424,1200,57.00,40.26,55.70,9.02,34.91,58.60,9.11,27.82,57.17,9.62
20160425,1200,52.30,36.22,51.01,8.35,30.82,53.70,8.43,24.82,52.43,8.93
20160426,1200,51.60,35.63,50.31,8.25,30.23,52.97,8.33,24.38,51.72,8.82
20160427,1200,57.60,40.78,56.30,9.10,35.45,59.22,9.20,28.20,57.78,9.71
20160428,1200,53.60,37.33,52.30,8.54,31.94,55.06,8.62,25.64,53.74,9.12
20160429,1200,48.90,33.35,47.62,7.86,27.96,50.16,7.94,22.70,49.00,8.42
20160430,1200,44.60,29.78,43.33,7.24,24.47,45.70,7.31,20.09,44.66,7.77
20160501,1200,40.70,26.62,39.46,6.67,21.43,41.65,6.73,17.80,40.73,7.17
20160502,1200,42.40,27.99,41.15,6.92,22.74,43.41,6.99,18.79,42.44,7.43
20160503,1200,55.90,39.31,54.60,8.86,33.94,57.45,8.95,27.11,56.06,9.46
20160504,1200,67.20,49.27,65.92,10.45,44.30,69.24,10.56,34.60,67.47,11.11
20160505,1200,96.00,76.31,94.96,14.38,74.21,99.39,14.54,55.48,96.61,15.18
20160506,1200,109.00,89.16,108.14,16.10,89.16,113.05,16.29,65.64,109.78,16.96
20160507,1200,104.00,84.17,103.07,15.44,83.31,107.79,15.62,61.68,104.71,16.28
20160508,1200,92.90,73.30,91.83,13.96,70.77,96.14,14.12,53.12,93.47,14.75
20160509,1200,81.20,62.15,80.01,12.38,58.26,83.88,12.51,44.45,81.63,13.11
20160510,1200,69.50,51.35,68.23,10.77,46.52,71.64,10.88,36.17,69.80,11.45
20160511,1200,59.90,42.79,58.60,9.43,37.51,61.62,9.53,29.71,60.10,10.05
20160512,1200,50.90,35.03,49.61,8.15,29.63,52.25,8.23,23.94,51.01,8.72
20160513,1200,42.60,28.15,41.35,6.95,22.90,43.62,7.01,18.91,42.65,7.46
20160514,1200,40.20,26.22,38.96,6.60,21.05,41.13,6.66,17.51,40.23,7.09
20160515,1200,35.00,22.11,33.81,5.83,17.22,35.74,5.88,14.57,34.99,6.28
20160516,1200,28.80,17.40,27.70,4.89,12.98,29.33,4.94,11.25,28.76,5.29
20160517,1200,24.90,14.55,23.86,4.29,10.51,25.31,4.33,9.27,24.84,4.66
20160518,1200,21.30,12.00,20.34,3.73,8.38,21.60,3.76,7.53,21.22,4.06
20160519,1200,18.90,10.36,18.00,3.35,7.04,19.13,3.38,6.43,18.82,3.66
20160520,1200,16.80,8.96,15.95,3.02,5.94,16.98,3.04,5.50,16.71,3.30
20160521,1200,14.50,7.47,13.72,2.64,4.79,14.63,2.66,4.52,14.41,2.90
20160522,1200,12.60,6.28,11.88,2.33,3.91,12.68,2.35,3.75,12.51,2.56
20160523,1200,10.90,5.26,10.24,2.04,3.16,10.95,2.06,3.09,10.81,2.26
20160524,1200,10.70,5.14,10.05,2.01,3.08,10.75,2.03,3.02,10.61,2.22
20160525,1200,11.50,5.62,10.82,2.15,3.42,11.56,2.16,3.32,11.41,2.37
20160526,1200,9.70,4.55,9.09,1.84,2.67,9.73,1.85,2.65,9.61,2.04
20160527,1200,8.30,3.75,7.75,1.60,2.13,8.31,1.61,2.15,8.22,1.78
20160528,1200,7.40,3.26,6.89,1.44,1.80,7.39,1.45,1.85,7.32,1.61
20160529,1200,6.30,2.67,5.84,1.25,1.42,6.28,1.26,1.49,6.22,1.39
20160530,1200,8.00,3.59,7.46,1.55,2.02,8.00,1.56,2.05,7.92,1.72
20160531,1200,8.70,3.98,8.13,1.67,2.28,8.71,1.68,2.29,8.62,1.85
20160601,1200,6.80,2.94,6.32,1.34,1.59,6.79,1.35,1.65,6.72,1.49
20160602,1200,5.40,2.21,4.99,1.09,1.14,5.37,1.09,1.21,5.33,1.22
20160603,1200,4.90,1.96,4.52,1.00,0.99,4.87,1.00,1.07,4.83,1.12
20160604,1200,4.60,1.81,4.23,0.94,0.90,4.56,0.95,0.98,4.53,1.06
20160605,1200,6.30,2.67,5.84,1.25,1.42,6.28,1.26,1.49,6.22,1.39
20160606,1200,25.30,14.83,24.26,4.36,10.76,25.72,4.39,9.47,25.24,4.73
20160607,1200,22.10,12.56,21.12,3.86,8.84,22.42,3.89,7.91,22.03,4.20
20160608,1200,16.50,8.76,15.66,2.97,5.78,16.67,2.99,5.36,16.41,3.25
20160609,1200,13.60,6.91,12.85,2.49,4.37,13.71,2.51,4.15,13.51,2.74
20160610,1200,10.70,5.14,10.05,2.01,3.08,10.75,2.03,3.02,10.61,2.22
20160611,1200,8.80,4.04,8.23,1.69,2.32,8.81,1.70,2.32,8.72,1.87
20160612,1200,8.30,3.75,7.75,1.60,2.13,8.31,1.61,2.15,8.22,1.78
20160613,1200,7.20,3.15,6.70,1.41,1.73,7.19,1.42,1.78,7.12,1.57
20160614,1200,6.50,2.78,6.03,1.28,1.49,6.48,1.29,1.55,6.42,1.43
20160615,1200,6.80,2.94,6.32,1.34,1.59,6.79,1.35,1.65,6.72,1.49
20160616,1200,6.90,2.99,6.41,1.36,1.63,6.89,1.36,1.68,6.82,1.51
20160617,1200,6.50,2.78,6.03,1.28,1.49,6.48,1.29,1.55,6.42,1.43
20160618,1200,5.90,2.46,5.46,1.18,1.29,5.88,1.18,1.36,5.83,1.32
20160619,1200,5.20,2.11,4.80,1.05,1.08,5.17,1.06,1.15,5.13,1.18
20160620,1200,4.30,1.67,3.95,0.89,0.82,4.26,0.89,0.89,4.24,1.00
20160621,1200,4.10,1.57,3.76,0.85,0.76,4.06,0.85,0.84,4.04,0.95
20160622,1200,3.90,1.48,3.58,0.81,0.71,3.86,0.82,0.79,3.84,0.91
20160623,1200,3.50,1.29,3.20,0.74,0.60,3.46,0.74,0.68,3.44,0.83
20160624,1200,2.80,0.98,2.55,0.60,0.44,2.76,0.61,0.50,2.75,0.68
20160625,1200,2.40,0.81,2.17,0.52,0.35,2.36,0.53,0.41,2.35,0.60
20160626,1200,2.10,0.69,1.90,0.46,0.29,2.06,0.47,0.34,2.06,0.53
20160627,1200,1.80,0.57,1.62,0.40,0.23,1.76,0.41,0.28,1.76,0.46
20160628,1200,1.90,0.61,1.71,0.42,0.25,1.86,0.43,0.30,1.86,0.48
20160629,1200,1.90,0.61,1.71,0.42,0.25,1.86,0.43,0.30,1.86,0.48
20160630,1200,1.80,0.57,1.62,0.40,0.23,1.76,0.41,0.28,1.76,0.46
20160701,1200,1.70,0.53,1.53,0.38,0.21,1.66,0.39,0.26,1.66,0.44
20160702,1200,1.70,0.53,1.53,0.38,0.21,1.66,0.39,0.26,1.66,0.44
20160703,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20160704,1200,1.30,0.38,1.16,0.30,0.14,1.27,0.30,0.18,1.27,0.35
20160705,1200,1.30,0.38,1.16,0.30,0.14,1.27,0.30,0.18,1.27,0.35
20160706,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20160707,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20160708,1200,1.50,0.45,1.34,0.34,0.18,1.46,0.34,0.22,1.47,0.39
20160709,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20160710,1200,1.90,0.61,1.71,0.42,0.25,1.86,0.43,0.30,1.86,0.48
20160711,1200,1.80,0.57,1.62,0.40,0.23,1.76,0.41,0.28,1.76,0.46
20160712,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20160713,1200,1.30,0.38,1.16,0.30,0.14,1.27,0.30,0.18,1.27,0.35
20160714,1200,1.10,0.31,0.98,0.26,0.11,1.07,0.26,0.14,1.07,0.30
20160715,1200,1.10,0.31,0.98,0.26,0.11,1.07,0.26,0.14,1.07,0.30
20160716,1200,0.80,0.21,0.71,0.19,0.07,0.77,0.20,0.09,0.78,0.23
20160717,1200,0.70,0.18,0.62,0.17,0.06,0.68,0.17,0.08,0.68,0.20
20160718,1200,0.80,0.21,0.71,0.19,0.07,0.77,0.20,0.09,0.78,0.23
20160719,1200,1.00,0.27,0.89,0.24,0.10,0.97,0.24,0.13,0.97,0.27
20160720,1200,0.80,0.21,0.71,0.19,0.07,0.77,0.20,0.09,0.78,0.23
20160721,1200,0.70,0.18,0.62,0.17,0.06,0.68,0.17,0.08,0.68,0.20
20160722,1200,0.70,0.18,0.62,0.17,0.06,0.68,0.17,0.08,0.68,0.20
20160723,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20160724,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20160725,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20160726,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160727,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160728,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160729,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160730,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160731,1200,1.00,0.27,0.89,0.24,0.10,0.97,0.24,0.13,0.97,0.27
20160801,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160802,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160803,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160804,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160805,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160806,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160807,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160808,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160809,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160810,1200,1.60,0.49,1.44,0.36,0.19,1.56,0.37,0.24,1.57,0.42
20160811,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160812,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160813,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160814,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160815,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160816,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
20160817,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160818,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160819,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160820,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20160821,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
20160822,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
20160823,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160824,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160825,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160826,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160827,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160828,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160829,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160830,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160831,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160901,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160902,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160903,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160904,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160905,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160906,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160907,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160908,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160909,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160910,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160911,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160912,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160913,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160914,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160915,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160916,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160917,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160918,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160919,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160920,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160921,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160922,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160923,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160924,1200,0.60,0.14,0.53,0.15,0.05,0.58,0.15,0.06,0.58,0.17
20160925,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160926,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20160927,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20160928,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20160929,1200,0.04,0.00,0.03,0.01,0.00,0.04,0.01,0.00,0.04,0.02
20160930,1200,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00
20161001,1200,0.40,0.09,0.35,0.10,0.03,0.38,0.10,0.04,0.39,0.12
20161002,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20161003,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20161004,1200,0.04,0.00,0.03,0.01,0.00,0.04,0.01,0.00,0.04,0.02
20161005,1200,0.03,0.00,0.02,0.01,0.00,0.03,0.01,0.00,0.03,0.01
20161006,1200,0.04,0.00,0.03,0.01,0.00,0.04,0.01,0.00,0.04,0.02
20161007,1200,0.04,0.00,0.03,0.01,0.00,0.04,0.01,0.00,0.04,0.02
20161008,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161009,1200,0.50,0.12,0.44,0.13,0.04,0.48,0.13,0.05,0.48,0.15
20161010,1200,0.30,0.06,0.26,0.08,0.02,0.29,0.08,0.03,0.29,0.09
20161011,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161012,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161013,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161014,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161015,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161016,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161017,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161018,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161019,1200,0.10,0.02,0.08,0.03,0.00,0.09,0.03,0.01,0.10,0.04
20161020,1200,0.20,0.04,0.17,0.06,0.01,0.19,0.06,0.01,0.19,0.07
20161021,1200,1.40,0.41,1.25,0.32,0.16,1.37,0.32,0.20,1.37,0.37
20161022,1200,2.60,0.89,2.36,0.56,0.39,2.56,0.57,0.46,2.55,0.64
20161023,1200,3.20,1.16,2.92,0.68,0.53,3.16,0.68,0.60,3.15,0.77
20161024,1200,6.10,2.57,5.65,1.21,1.36,6.08,1.22,1.43,6.03,1.35
20161025,1200,6.70,2.88,6.22,1.32,1.56,6.68,1.33,1.62,6.62,1.47
20161026,1200,7.20,3.15,6.70,1.41,1.73,7.19,1.42,1.78,7.12,1.57
20161027,1200,6.80,2.94,6.32,1.34,1.59,6.79,1.35,1.65,6.72,1.49
20161028,1200,19.80,10.97,18.87,3.50,7.54,20.06,3.52,6.84,19.72,3.81
20161029,1200,17.30,9.29,16.44,3.10,6.19,17.49,3.12,5.71,17.21,3.39
20161030,1200,19.80,10.97,18.87,3.50,7.54,20.06,3.52,6.84,19.72,3.81
20161031,1200,24.40,14.19,23.37,4.22,10.21,24.79,4.25,9.02,24.34,4.58
20161101,1200,28.90,17.47,27.80,4.91,13.05,29.43,4.95,11.30,28.86,5.31
20161102,1200,25.20,14.76,24.16,4.34,10.70,25.62,4.38,9.42,25.14,4.71
20161103,1200,21.70,12.28,20.73,3.80,8.61,22.01,3.83,7.72,21.63,4.13
20161104,1200,19.60,10.83,18.68,3.46,7.43,19.85,3.49,6.74,19.52,3.78
