"","Date","DIN_UP_kg.mo","DON_UP_kg.mo","PN_UP_kg.mo","TN_UP_kg.mo","DIN_OUT_kg.mo","DON_OUT_kg.mo","PN_OUT_kg.mo","TN_OUT_kg.mo","Date2","Month","Month2","Year","Discharge.Lday","Discharge.m3day","Discharge.cfs","Discharge.m3s","HL.myr","HL.myr2","DIN_UP_fw_mg.mo","DIN_OUT_fw_mg.mo","DON_UP_fw_mg.mo","DON_OUT_fw_mg.mo","PN_UP_fw_mg.mo","PN_OUT_fw_mg.mo","RDIN1","RDON1","RPN1","RTN1","RDIN2","RDON2","RPN2","RTN2","TN_UP_fw_mgL.mo","TN_OUT_fw_mgL.mo","RDINpre","RDONpre","RPNpre","RDINpost","RDONpost","RPNpost","DIN_OUT_kg.mo.rem.pre","DON_OUT_kg.mo.rem.pre","PN_OUT_kg.mo.rem.pre","DIN_OUT_kg.mo.pre","DON_OUT_kg.mo.pre","PN_OUT_kg.mo.pre","DIN_OUT_kg.mo.rem.post","DON_OUT_kg.mo.rem.post","PN_OUT_kg.mo.rem.post","DIN_OUT_kg.mo.post","DON_OUT_kg.mo.post","PN_OUT_kg.mo.post","DIN_OUT_fw_mg.mo.pre","DON_OUT_fw_mg.mo.pre","PN_OUT_fw_mg.mo.pre","DIN_OUT_fw_mg.mo.post","DON_OUT_fw_mg.mo.post","PN_OUT_fw_mg.mo.post","RDIN3","RDON3","RPN3","RDIN4","RDON4","RPN4","RDIN5","RDON5","RPN5","RDIN6","RDON6","RPN6","RDIN7","RDON7","RPN7","RDIN8","RDON8","RPN8","TN_OUT_kg.mo.pre","TN_OUT_kg.mo.post","RTN3","RDIN9","RDON9","RPN9","RTN9","RTN5"
"1","2015-06",423.95,589.06,96,1109.01,369.1,619.91,96.98,1085.99,2015-06-01,"06","Jun","2015",1476311224.50424,1476311.22450424,46.4169230769231,1.31437965144609,929.2117263272,2438.25156988257,0.2871684458962,0.25001503333008,0.399008007405627,0.419904685211731,0.0650269390400642,0.0656907557094316,54.85,-30.85,-0.980000000000004,23.0199999999999,0.03715341256612,-0.020896677806104,-0.000663816669367323,0.0155929180906487,0.751203392341892,0.735610474251243,0.126270901955463,-0.0624450887049818,-0.1087877045334,0.0952168917244513,-0.0516496226796796,-0.093534122703821,53.5325488840187,-36.7839039525566,-10.4436196352064,370.417451115981,625.843903952557,106.443619635206,40.3672012465811,-30.424726735692,-8.97927577956682,383.582798753419,619.484726735692,104.979275779567,0.250907427219738,0.42392409782207,0.0721010704710662,0.259825159076623,0.419616620434299,0.0711091767352915,370.417451115981,625.843903952557,106.443619635206,0.0362610186764619,-0.0249160904164424,-0.00707413143100193,383.582798753419,619.484726735692,104.979275779567,0.0273432868195774,-0.0206086130286715,-0.00608223769522725,-330.0502498694,-656.268630688249,-115.422895414773,-0.00891773185688449,0.00430747738777093,0.000991893735774671,1102.70497470374,1108.04680126868,1102.70497470374,-13.1653476374376,6.35917721686451,1.46434385563958,-5.34182656493363,1108.04680126868
"2","2015-07",455.66,703.87,123.13,1282.66,357.99,744.64,124.26,1226.89,2015-07-01,"07","Jul","2015",1786756902.93277,1786756.90293277,23.5583870967742,0.667098604738939,471.610957654393,1237.50715288513,0.255020702173912,0.20035741818733,0.393937193607408,0.416755071032748,0.0689125643213663,0.0695449950667829,97.67,-40.77,-1.13000000000001,55.77,0.0546632839865821,-0.0228178774253399,-0.000632430745416579,0.0312129758158256,0.717870460102686,0.68665748428686,0.153986622420328,-0.0713587478428525,-0.120977146207761,0.116116439551384,-0.0590222942654527,-0.104014431468041,70.1655443720467,-50.2272818441486,-14.8959160125616,385.494455627953,754.097281844149,138.025916012562,52.9096168459838,-41.5440222646242,-12.8072969466599,402.750383154016,745.414022264624,135.93729694666,0.215750925598891,0.42204805847196,0.077249409690824,0.225408606225583,0.417188270570611,0.076080465520258,385.494455627953,754.097281844149,138.025916012562,0.0392697765750211,-0.028110864864552,-0.00833684536945765,402.750383154016,745.414022264624,135.93729694666,0.0296120959483287,-0.0232510769632031,-0.00716790119889169,-332.58483878197,-795.641304108773,-150.833212959221,-0.00965768062669245,0.00485978790134894,0.00116894417056597,1277.61765348466,1284.1017023653,1277.61765348466,-17.2559275260629,8.68325957952436,2.08861906590175,-6.48404888063669,1284.1017023653
"3","2015-08",63.89,141.24,30.56,235.69,34.15,151.93,30.74,216.82,2015-08-01,"08","Aug","2015",372588638.725517,372588.638725517,4.91258064516129,0.139108661411857,98.3440357398742,258.05474978143,0.17147597473327,0.0916560422153883,0.379077581332399,0.407768740667173,0.0820207511010912,0.0825038576193568,29.74,-10.69,-0.18,18.87,0.0798199325178813,-0.0286911593347731,-0.00048310651826558,0.0506456666648426,0.63257430716676,0.581928640501918,0.243610254796213,-0.0971408001214196,-0.154640138962135,0.183698784871896,-0.0803471622368473,-0.13295739435498,15.56425917893,-13.7201666091493,-4.72580264668285,48.32574082107,154.960166609149,35.2858026466829,11.7365153654655,-11.3482331943323,-4.06317797148818,52.1534846345345,152.588233194332,34.6231779714882,0.129702668837069,0.415901480891121,0.0947044514491427,0.139976046540044,0.409535389260065,0.0929260164505307,48.32574082107,154.960166609149,35.2858026466829,0.0417733058962008,-0.0368238995587219,-0.0126837003480514,52.1534846345345,152.588233194332,34.6231779714882,0.0314999281932256,-0.0304578079276661,-0.0109052653494394,-36.5892254556045,-166.308399803482,-39.348980618171,-0.0102733777029752,0.00636609163105584,0.00177843499861202,238.571710076902,239.364895800355,238.571710076902,-3.82774381346458,2.37193341481699,0.662624675194678,-0.793185723452893,239.364895800355
"4","2015-09",21.14,54.78,13.01,88.93,9.78,59.33,13.17,82.28,2015-09-01,"09","Sep","2015",147479434.909542,147479.434909542,2.00933333333333,0.0568979301348541,40.2244692596117,105.549007337221,0.143342019265035,0.0663143305776746,0.37144161851176,0.402293377625095,0.0882156892449434,0.089300586268709,11.36,-4.55,-0.16,6.65,0.0770276886873602,-0.0308517591133353,-0.00108489702376564,0.0450910325502593,0.602999327021738,0.557908294471479,0.316446116425436,-0.115822085221737,-0.177878471006124,0.23862200346784,-0.0957988390078015,-0.152937382076545,6.68967090123371,-6.34473382844678,-2.31419890778967,14.4503290987663,61.1247338284468,15.3241989077897,5.04446915331013,-5.24786040084737,-1.98971534081585,16.0955308466899,60.0278604008474,14.9997153408158,0.0979819939480345,0.414462761305929,0.103907361166585,0.109137459446887,0.407025294324365,0.101707165816143,14.4503290987663,61.1247338284468,15.3241989077897,0.0453600253170002,-0.0430211427941691,-0.0156916719216419,16.0955308466899,60.0278604008474,14.9997153408158,0.0342045598181483,-0.0355836758126053,-0.0134914765711996,-9.40585994545616,-66.3725942292942,-17.3139142486055,-0.011155465498852,0.00743746698156383,0.00220019535044226,90.8992618350027,91.1231065883531,90.8992618350027,-1.64520174792358,1.09687342759941,0.324483566973827,-0.223844753350335,91.1231065883531
"5","2015-10",177.4,311.02,59.01,547.43,122.79,331.07,59.54,513.4,2015-10-01,"10","Oct","2015",801203804.647923,801203.804647923,10.5638709677419,0.299135231723388,211.476162742754,554.913451036986,0.22141682175106,0.153256885810669,0.388190867536723,0.413215711257742,0.0736516722183204,0.0743131768154346,54.61,-20.05,-0.530000000000001,34.03,0.068159935940391,-0.0250248437210189,-0.000661504597114213,0.042473587622258,0.683259361506103,0.640785773883845,0.194716227422776,-0.083556389526381,-0.137167313754566,0.146829345925218,-0.0691112156458449,-0.117934507495137,34.5426587448004,-25.987708270495,-8.09424318465692,142.8573412552,337.007708270495,67.1042431846569,26.0475259671337,-21.4949702901707,-6.95931528728805,151.352474032866,332.514970290171,65.9693152872881,0.178303373531752,0.420626694875205,0.0837542742500392,0.188906334636511,0.415019210294801,0.0823377459075813,142.8573412552,337.007708270495,67.1042431846569,0.0431134482193075,-0.0324358273384822,-0.0101026020317188,151.352474032866,332.514970290171,65.9693152872881,0.0325104871145487,-0.026828342758078,-0.0086860736892609,-116.809815288066,-358.502678560666,-74.063558471945,-0.0106029611047588,0.00560748458040411,0.00141652834245788,546.969292710352,549.836759610325,546.969292710352,-8.49513277766667,4.49273798032436,1.13492789736887,-2.86746689997346,549.836759610325
"6","2015-11",613.86,919.21,157.17,1690.24,494.73,970.84,158.63,1624.2,2015-11-01,"11","Nov","2015",2323584003.2621,2323584.0032621,31.6576666666667,0.89644444570297,633.748924849553,1662.95717880523,0.264186704306019,0.212916769656464,0.395600072435304,0.417820056704225,0.0676411955751752,0.0682695352426674,119.13,-51.63,-1.46000000000001,66.04,0.0512699346495553,-0.0222199842689209,-0.000628339667492248,0.0284216107131422,0.727427972316499,0.699006361603356,0.141231852418374,-0.0673282977509206,-0.115506475739047,0.106498471076948,-0.0556886257449217,-0.0993108267262402,86.6965849255431,-61.8888445756238,-18.154152791906,527.163415074457,981.098844575624,175.324152791906,65.3751514552951,-51.1895416709895,-15.6086826365632,548.484848544705,970.399541670989,172.778682636563,0.226875126672575,0.422235151902514,0.0754541916908393,0.23605122421857,0.417630496813818,0.0743586986284971,527.163415074457,981.098844575624,175.324152791906,0.0373115776334443,-0.02663507946721,-0.00781299611566408,548.484848544705,970.399541670989,172.778682636563,0.0281354800874487,-0.0220304243785136,-0.00671750305332194,-461.788263619162,-1032.28838624661,-190.932835428469,-0.0091760975459956,0.0046046550886964,0.00109549306234213,1683.58641244199,1691.66307285226,1683.58641244199,-21.3214334702481,10.6993029046344,2.54547015534277,-8.07666041027096,1691.66307285226
"7","2015-12",917.69,1300.68,214.78,2433.15,783.72,1370.19,216.91,2370.82,2015-12-01,"12","Dec","2015",3267398562.07189,3267398.56207188,43.0806451612903,1.21990687054655,862.423400949517,2262.99900409153,0.280862583050806,0.239860545051791,0.398078157681268,0.419351962722035,0.0657342518580917,0.0663861466176491,133.97,-69.51,-2.13,62.33,0.0410020379990155,-0.0212738050407671,-0.000651894759557375,0.019076338198691,0.744674992590166,0.725598654391475,0.129057072915914,-0.0633682678243679,-0.110065886762001,0.0973178550862285,-0.052413203197714,-0.0946330856235793,118.434385244205,-82.4218385937989,-23.6399511587426,799.255614755795,1383.1018385938,238.419951158743,89.3076224340811,-68.1728051352026,-20.3252941302324,828.382377565919,1368.8528051352,235.105294130232,0.244615280190667,0.423303680992245,0.0729693505794893,0.253529638894324,0.418942709048388,0.0719548869425804,799.255614755795,1383.1018385938,238.419951158743,0.0362473028601397,-0.0252255233109775,-0.00723509872139759,828.382377565919,1368.8528051352,235.105294130232,0.0273329441564821,-0.02086455136712,-0.00622063508448872,-709.947992321714,-1451.274643729,-258.745245288975,-0.00891435870365756,0.00436097194385759,0.00101446363690887,2420.77740450834,2432.34047683135,2420.77740450834,-29.1267628101236,14.2490334585962,3.31465702851025,-11.563072323017,2432.34047683135
"8","2016-01",1214.86,1628.34,259.89,3103.09,1104.64,1710.85,262.64,3078.13,2016-01-01,"01","Jan","2016",4065177164.18375,4065177.16418375,53.5993548387097,1.51776327814507,1072.99548824388,2815.54016115194,0.2988455240533,0.271732314579653,0.400558188299022,0.420854966684711,0.0639307930512257,0.0646072703335023,110.22,-82.51,-2.75,24.9599999999998,0.0271132094736469,-0.0202967783856887,-0.000676477282276614,0.00613995380568165,0.763334505403547,0.757194551597865,0.121065582019074,-0.0607022395873114,-0.106364068669627,0.0912917246661762,-0.0502080761756692,-0.0914503150231289,147.077732971693,-98.8438848096027,-27.6429578065493,1067.78226702831,1727.1838848096,287.532957806549,110.906664627951,-81.7558187598892,-23.767022371361,1103.95333537205,1710.09581875989,283.657022371361,0.262665616749992,0.424872967413809,0.0707307323134299,0.271563400753707,0.420669444329927,0.0697772842154387,1067.78226702831,1727.1838848096,287.532957806549,0.036179907303308,-0.0243147791147866,-0.00679993926220425,1103.95333537205,1710.09581875989,283.657022371361,0.027282123299593,-0.0201112560309052,-0.00584649116421304,-956.875602400356,-1808.93970356949,-311.29998017791,-0.00889778400371499,0.00420352308388139,0.000953448097991208,3082.49910964446,3097.7061765033,3082.49910964446,-36.171068343742,17.0880660497137,3.8759354351883,-15.2070668588399,3097.7061765033
"9","2016-02",1885.8,2307.42,347.96,4541.18,1895.89,2413.97,352,4661.86,2016-02-01,"02","Feb","2016",5701004963.93853,5701004.96393853,80.351724137931,2.2753053016996,1608.54617993182,4220.8251761411,0.330783784951697,0.332553648346629,0.404739166970646,0.423428854258059,0.0610348530129348,0.0617435000015894,-10.0900000000001,-106.55,-4.04000000000002,-120.68,-0.00176986339493196,-0.0186896872874129,-0.00070864698865461,-0.0211681976709995,0.796557804935278,0.817726002606278,0.107540285870089,-0.056054315392615,-0.0998295425073957,0.0810927268051068,-0.0463636820707302,-0.0858320222712877,202.799471093814,-129.340848423228,-34.7366876108734,1683.00052890619,2436.76084842323,382.696687610873,152.92466420907,-106.980487283644,-29.8661104695173,1732.87533579093,2414.40048728364,377.826110469517,0.295211202156801,0.427426543887763,0.0671279344662222,0.30395962584705,0.423504365029646,0.0662735978760658,1683.00052890619,2436.76084842323,382.696687610873,0.0355725827948956,-0.0226873769171169,-0.00609308145328741,1732.87533579093,2414.40048728364,377.826110469517,0.0268241591046471,-0.0187651980589993,-0.00523874486313099,-1530.07586469712,-2543.74133570687,-412.562798080391,-0.00874842369024847,0.00392217885811758,0.000854336590156421,4502.45806494029,4525.10193354409,4502.45806494029,-49.8748068847437,22.3603611395833,4.87057714135614,-22.6438686038045,4525.10193354409
"10","2016-03",2715.42,3272.76,486.17,6474.35,2744.27,3420.58,491.92,6656.77,2016-03-01,"03","Mar","2016",8066596629.73209,8066596.62973209,106.358064516129,3.01172215865147,2129.16225778409,5586.92176442545,0.336625236718969,0.340201714051883,0.405717572134098,0.424042524624614,0.060269531540484,0.0609823476466974,-28.8499999999999,-147.82,-5.75,-182.42,-0.00357647733291433,-0.0183249524905164,-0.000712816106213425,-0.0226142459296441,0.80261234039355,0.825226586323194,0.0990694508408014,-0.0530456502088156,-0.0955408455532625,0.0747051381420919,-0.0438751529528217,-0.0821446615638629,269.015168202129,-173.605682177403,-46.4490928826296,2446.40483179787,3446.3656821774,532.61909288263,202.855826213799,-143.592845577877,-39.9362701125032,2512.5641737862,3416.35284557788,526.106270112503,0.303275959378066,0.427239124549093,0.0660277335449608,0.311477601907764,0.423518492667129,0.0652203518114896,2446.40483179787,3446.3656821774,532.61909288263,0.033349277340903,-0.0215215524149953,-0.00575820200447686,2512.5641737862,3416.35284557788,526.106270112503,0.025147634811205,-0.017800920533031,-0.00495082027100561,-2243.54900558407,-3589.95852775528,-572.555362995133,-0.00820164252969802,0.00372063188196431,0.000807381733471252,6425.38960685791,6455.02328947658,6425.38960685791,-66.1593419883293,30.012836599527,6.51282277012638,-29.6336826186753,6455.02328947658
"11","2016-04",2434.8,2942.51,438.76,5816.07,2465.6,3076.1,443.91,5985.61,2016-04-01,"04","Apr","2016",7256780887.27923,7256780.88727923,98.87,2.79968398428983,1979.2600907587,5193.57847815082,0.335520672019749,0.339764978204326,0.405484201012334,0.423893190077193,0.0604620708293844,0.0611717518959614,-30.7999999999997,-133.59,-5.14999999999998,-169.54,-0.00424430618457705,-0.0184089890648588,-0.000709681066577005,-0.0233629763160129,0.801466943861468,0.824829920177481,0.101208479298486,-0.0538130876345847,-0.0966393996063333,0.0763181118192949,-0.0445099162991996,-0.0830891827304545,246.422405395953,-158.345548495642,-42.4015029712748,2188.37759460405,3100.85554849564,481.161502971275,185.819338657619,-130.970873809558,-36.4562098148142,2248.98066134238,3073.48087380956,475.216209814814,0.301563135031424,0.427304557855851,0.0663050890532917,0.309914367854861,0.423532268860041,0.0654858148807888,2188.37759460405,3100.85554849564,481.161502971275,0.0339575369883248,-0.0218203568435162,-0.00584301822390731,2248.98066134238,3073.48087380956,475.216209814814,0.0256063041648882,-0.0180480678477068,-0.00502374405140441,-2002.55825594643,-3231.8264223052,-517.617712786089,-0.00835123282343658,0.00377228899580945,0.00081927417250291,5770.39464607096,5797.67774496675,5770.39464607096,-60.6030667383338,27.3746746860838,5.94529315646059,-27.2830988957894,5797.67774496675
"12","2016-05",848.77,1177.42,192.69,2218.88,748.48,1239.34,194.62,2182.44,2016-05-01,"05","May","2016",2952230997.29008,2952230.99729008,38.9251612903226,1.10223678214235,779.23554433378,2044.71406833184,0.287501215446591,0.25353029647309,0.398823805142884,0.419797773662569,0.0652692828497752,0.0659230257316064,100.29,-61.9199999999998,-1.93000000000001,36.4400000000001,0.0339709189735012,-0.0209739685196849,-0.00065374288183126,0.0123432075719851,0.75159430343925,0.739251095867265,0.132944801836771,-0.064645607804464,-0.111828177028792,0.100249468450659,-0.0534697174788822,-0.0961482777563739,112.839559454996,-76.115031541132,-21.548171431678,735.930440545004,1253.53503154113,214.238171431678,85.0887413368656,-62.9563147539855,-18.5268116408757,763.681258663134,1240.37631475399,211.216811640876,0.249279423331213,0.424606012433234,0.0725682277668421,0.258679371419152,0.420148801327726,0.0715448119861747,735.930440545004,1253.53503154113,214.238171431678,0.0382217921153779,-0.0257822072903508,-0.00729894491706697,763.681258663134,1240.37631475399,211.216811640876,0.0288218440274391,-0.0213249961848428,-0.0062755291363995,-650.841699208138,-1316.49134629512,-232.764983072554,-0.0093999480879387,0.00445721110550801,0.00102341578066746,2203.70364351781,2215.274385058,2203.70364351781,-27.7508181181304,13.1587167871464,3.02135979080234,-11.5707415401816,2215.274385058
"13","2016-06",97.64,195.34,40.01,332.99,58.55,209.2,40.31,308.06,2016-06-01,"06","Jun","2016",510550903.731307,510550.903731307,6.956,0.196971799279054,139.250866706964,365.394274239073,0.191244397544708,0.114680043796012,0.382606315202614,0.409753461351422,0.0783663288177362,0.0789539293837277,39.09,-13.86,-0.300000000000004,24.93,0.0765643537486955,-0.0271471461488084,-0.000587600565991525,0.0488296070338956,0.652217041565058,0.603387434531162,0.220038345608192,-0.0907157326295664,-0.146442731198401,0.165923954011133,-0.0750328562036938,-0.125909379628362,21.4845440651838,-17.7204112118595,-5.85917367524804,76.1554559348162,213.06041121186,45.869173675248,16.200814869647,-14.6569181308295,-5.03763427893077,81.439185130353,209.99691813083,45.0476342789308,0.149163296702135,0.417314727394918,0.0898425080437975,0.159512370921613,0.411314359833837,0.0882333846629296,76.1554559348162,213.06041121186,45.869173675248,0.0420811008425728,-0.0347084121923039,-0.0114761792260613,81.439185130353,209.99691813083,45.0476342789308,0.0317320266230949,-0.0287080446312228,-0.0098670558451934,-59.9546410651692,-227.717329342689,-50.9068079541788,-0.0103490742194779,0.00600036756108108,0.00160912338086788,335.085040821924,336.483737540113,335.085040821924,-5.28372919553682,3.06349308102995,0.821539396317277,-1.39869671818963,336.483737540113
"14","2016-07",9.44,29.38,7.63,46.45,3.55,31.98,7.74,43.27,2016-07-01,"07","Jul","2016",80908177.0480848,80908.1770480848,1.06677419354839,0.0302076527210591,21.3555536274059,56.036972718313,0.116675475142515,0.0438769000800771,0.36312769700075,0.395262891425596,0.0943044359467572,0.0956640018647314,5.89,-2.6,-0.11,3.18,0.0727985750624377,-0.0321351944248451,-0.00135956591797422,0.0393038147196183,0.574107608090022,0.534803793370404,0.380854216692481,-0.131187843715998,-0.196419759755955,0.287190113890207,-0.108508175240233,-0.16887891870931,3.59526380557702,-3.85429884837602,-1.49868276693793,5.84473619442298,33.234298848376,9.12868276693793,2.71107467512355,-3.18797018855805,-1.28854614975203,6.72892532487645,32.567970188558,8.91854614975203,0.0722391284498893,0.410765636563835,0.11282769059934,0.083167432148142,0.40253002078149,0.110230467118937,5.84473619442298,33.234298848376,9.12868276693793,0.0444363466926254,-0.0476379395630847,-0.0185232546525829,6.72892532487645,32.567970188558,8.91854614975203,0.0335080429943728,-0.0394023237807397,-0.0159260311721797,-3.13366151929943,-36.4222690369341,-10.41722891669,-0.0109283036982527,0.008235615782345,0.00259722348040313,48.2077178097369,48.2154416631865,48.2077178097369,-0.884189130453466,0.666328659817971,0.210136617185899,-0.00772385344959048,48.2154416631865
"15","2016-08",2.55,9.87,2.93,15.35,0.86,10.87,2.94,14.67,2016-08-01,"08","Aug","2016",27744140.5420406,27744.1405420406,0.365806451612903,0.0103584754114548,7.32301113198617,19.2155812103317,0.0919112991132667,0.0309975361715331,0.355750793038409,0.391794439749494,0.105607884863479,0.10596832133059,1.69,-1,-0.00999999999999979,0.68,0.0609137629417336,-0.036043646711085,-0.000360436467110856,0.0245096797635378,0.553269977015154,0.528760297251617,0.520913285575756,-0.161937396649391,-0.232260932899897,0.392804226012332,-0.133941765607635,-0.199694650147647,1.32832887821818,-1.59832210492948,-0.680524533396699,1.22167112178182,11.4683221049295,3.6105245333967,1.00165077633145,-1.32200522654735,-0.585105324932606,1.54834922366855,11.1920052265474,3.51510532493261,0.0440334823106389,0.413360150319005,0.130136470723456,0.055808152403292,0.403400682374289,0.126697214484124,1.22167112178182,11.4683221049295,3.6105245333967,0.0478778168026278,-0.0576093572805961,-0.0245285858599766,1.54834922366855,11.1920052265474,3.51510532493261,0.0361031467099747,-0.0476498893358807,-0.0210893296206454,-0.220020345450376,-12.7903273314768,-4.1956298583293,-0.0117746700926531,0.00995946794471536,0.00343925623933114,16.300517760108,16.2554597751485,16.300517760108,-0.326678101886729,0.276316878382131,0.0954192084640932,0.0450579849594952,16.2554597751485
"16","2016-09",1.02,4.26,1.45,6.73,0.22,4.76,1.45,6.43,2016-09-01,"09","Sep","2016",12306263.3973954,12306.2633973954,0.167666666666667,0.0047477868045507,3.3564877301899,8.80742380401829,0.0828846228186437,0.0178770755099035,0.346165189419041,0.386794906487004,0.117826179497092,0.117826179497092,0.8,-0.5,0,0.3,0.0650075473087402,-0.0406297170679626,0,0.0243778302407776,0.546875991734777,0.522498161493999,0.654484956811176,-0.188802162447124,-0.262441777905667,0.493526396841229,-0.156162168294326,-0.225643711874636,0.6675746559474,-0.804297212024746,-0.380540577963217,0.3524253440526,5.06429721202475,1.83054057796322,0.503396924778054,-0.66525083693383,-0.327183382218223,0.516603075221946,4.92525083693383,1.77718338221822,0.028637884032873,0.411521925745274,0.14874869152814,0.0419788735654142,0.400223095986735,0.144412915994822,0.3524253440526,5.06429721202475,1.83054057796322,0.0542467387857707,-0.0653567363262332,-0.030922512031049,0.516603075221946,4.92525083693383,1.77718338221822,0.0409057492532295,-0.0540579065676937,-0.0265867364977309,0.150971580725453,-5.72954804895858,-2.15772396018144,-0.0133409895325411,0.0112988297585395,0.00433577553331804,7.24726313404056,7.219037294374,7.24726313404056,-0.164177731169346,0.139046375090916,0.0533571957449945,0.0282258396665647,7.219037294374
